0.723;0.726;0.744;0.840;0.788;0.818;0.761;0.789;0.783;0.809;0.811
0.813;0.821;0.786;0.783;0.799;0.758;0.799;0.787;0.821;0.822;0.822
0.771;0.823;0.761;0.800;0.810;0.752;0.821;0.792;0.795;0.813;0.757
0.716;0.835;0.801;0.777;0.800;0.818;0.779;0.804;0.812;0.805;0.797
0.827;0.832;0.777;0.793;0.752;0.800;0.807;0.808;0.780;0.786;0.747
0.807;0.805;0.769;0.803;0.759;0.752;0.807;0.810;0.728;0.770;0.822
0.788;0.768;0.776;0.797;0.824;0.825;0.817;0.800;0.770;0.758;0.778
0.850;0.775;0.759;0.741;0.796;0.810;0.755;0.742;0.836;0.813;0.816
0.758;0.815;0.758;0.842;0.730;0.805;0.812;0.815;0.807;0.787;0.798
0.790;0.857;0.791;0.834;0.801;0.800;0.823;0.775;0.784;0.803;0.775
0.812;0.817;0.773;0.767;0.772;0.829;0.804;0.800;0.787;0.761;0.791
