0.856;0.853;0.860;0.855;0.857;0.859;0.857;0.862;0.854;0.856;0.857
0.854;0.858;0.855;0.858;0.856;0.857;0.856;0.852;0.857;0.860;0.854
0.859;0.861;0.858;0.860;0.850;0.855;0.856;0.857;0.856;0.860;0.857
0.855;0.855;0.858;0.858;0.853;0.861;0.856;0.855;0.854;0.852;0.854
0.857;0.853;0.856;0.851;0.856;0.857;0.854;0.856;0.857;0.857;0.857
0.857;0.852;0.855;0.861;0.853;0.856;0.857;0.853;0.853;0.859;0.855
0.856;0.862;0.857;0.855;0.857;0.858;0.855;0.854;0.859;0.859;0.858
0.856;0.851;0.852;0.857;0.858;0.856;0.858;0.852;0.866;0.857;0.852
0.858;0.858;0.858;0.855;0.855;0.858;0.858;0.851;0.854;0.855;0.854
0.855;0.857;0.856;0.858;0.859;0.857;0.853;0.855;0.857;0.858;0.856
0.859;0.855;0.854;0.855;0.855;0.852;0.859;0.860;0.856;0.850;0.852
