0.162;0.157;0.163;0.157;0.160;0.161;0.159;0.167;0.157;0.159;0.160
0.158;0.161;0.161;0.160;0.164;0.159;0.161;0.155;0.160;0.165;0.158
0.165;0.166;0.160;0.163;0.152;0.158;0.161;0.168;0.159;0.164;0.161
0.158;0.161;0.163;0.164;0.154;0.161;0.160;0.158;0.157;0.154;0.158
0.164;0.156;0.162;0.155;0.160;0.160;0.157;0.159;0.163;0.161;0.159
0.159;0.155;0.158;0.163;0.156;0.160;0.166;0.155;0.157;0.163;0.161
0.159;0.166;0.160;0.158;0.161;0.162;0.161;0.157;0.162;0.162;0.160
0.160;0.155;0.155;0.159;0.163;0.161;0.160;0.156;0.166;0.159;0.157
0.162;0.162;0.163;0.160;0.160;0.163;0.162;0.153;0.159;0.159;0.158
0.159;0.164;0.159;0.162;0.162;0.161;0.156;0.158;0.161;0.161;0.157
0.163;0.160;0.158;0.162;0.158;0.155;0.163;0.163;0.160;0.151;0.155
