0.150;0.151;0.174;0.162;0.161;0.164;0.149;0.159;0.153;0.163;0.160
0.154;0.157;0.160;0.152;0.147;0.150;0.155;0.154;0.157;0.151;0.158
0.152;0.155;0.161;0.167;0.162;0.146;0.161;0.166;0.153;0.135;0.156
0.156;0.163;0.153;0.156;0.171;0.154;0.153;0.160;0.159;0.153;0.159
0.153;0.155;0.153;0.158;0.154;0.163;0.152;0.159;0.158;0.162;0.159
0.155;0.161;0.159;0.156;0.163;0.162;0.164;0.150;0.165;0.167;0.156
0.155;0.158;0.154;0.157;0.156;0.164;0.157;0.160;0.159;0.162;0.150
0.154;0.158;0.156;0.157;0.162;0.159;0.162;0.147;0.163;0.170;0.152
0.152;0.156;0.156;0.157;0.161;0.160;0.160;0.156;0.157;0.166;0.152
0.155;0.153;0.159;0.159;0.159;0.155;0.161;0.164;0.161;0.156;0.158
0.153;0.155;0.155;0.155;0.157;0.157;0.156;0.164;0.158;0.158;0.160
