0.354;0.348;0.379;0.368;0.362;0.361;0.348;0.360;0.355;0.366;0.360
0.359;0.360;0.366;0.354;0.346;0.353;0.359;0.356;0.361;0.352;0.361
0.357;0.360;0.366;0.374;0.368;0.343;0.368;0.374;0.353;0.329;0.358
0.363;0.374;0.358;0.360;0.379;0.356;0.356;0.363;0.365;0.353;0.364
0.358;0.362;0.358;0.364;0.360;0.372;0.355;0.364;0.362;0.365;0.363
0.364;0.370;0.368;0.362;0.371;0.370;0.370;0.353;0.374;0.371;0.360
0.363;0.366;0.361;0.364;0.363;0.373;0.362;0.366;0.366;0.371;0.352
0.361;0.367;0.364;0.364;0.372;0.363;0.367;0.347;0.372;0.380;0.355
0.358;0.364;0.363;0.363;0.369;0.368;0.367;0.360;0.363;0.375;0.355
0.366;0.358;0.367;0.368;0.369;0.360;0.368;0.373;0.369;0.359;0.363
0.360;0.364;0.362;0.361;0.364;0.366;0.362;0.373;0.364;0.364;0.368
