0.222;0.123;0.179;0.233;0.170;0.155;0.185;0.173;0.204;0.209;0.171
0.222;0.188;0.238;0.185;0.160;0.201;0.204;0.186;0.194;0.151;0.202
0.234;0.228;0.214;0.197;0.228;0.167;0.236;0.229;0.197;0.134;0.179
0.253;0.255;0.230;0.223;0.227;0.203;0.195;0.207;0.213;0.202;0.201
0.235;0.239;0.231;0.211;0.220;0.247;0.191;0.226;0.223;0.205;0.199
0.256;0.253;0.253;0.240;0.246;0.245;0.230;0.208;0.251;0.217;0.222
0.257;0.249;0.241;0.244;0.246;0.244;0.229;0.239;0.235;0.247;0.214
0.256;0.258;0.256;0.245;0.254;0.221;0.238;0.207;0.250;0.248;0.209
0.252;0.253;0.247;0.239;0.250;0.242;0.245;0.230;0.235;0.251;0.209
0.264;0.251;0.254;0.252;0.255;0.234;0.247;0.248;0.246;0.220;0.227
0.259;0.261;0.249;0.242;0.244;0.253;0.245;0.244;0.245;0.238;0.245
