0.849;0.849;0.854;0.856;0.851;0.851;0.848;0.851;0.850;0.854;0.851
0.852;0.851;0.856;0.849;0.848;0.849;0.851;0.850;0.851;0.849;0.852
0.851;0.852;0.853;0.853;0.856;0.848;0.856;0.857;0.850;0.846;0.851
0.858;0.864;0.851;0.853;0.858;0.850;0.850;0.852;0.852;0.850;0.852
0.852;0.855;0.851;0.853;0.851;0.861;0.849;0.855;0.853;0.853;0.852
0.861;0.862;0.862;0.855;0.860;0.859;0.856;0.848;0.862;0.854;0.852
0.860;0.860;0.854;0.857;0.855;0.860;0.854;0.856;0.856;0.859;0.848
0.856;0.863;0.860;0.856;0.864;0.855;0.857;0.847;0.862;0.863;0.850
0.851;0.858;0.857;0.856;0.861;0.858;0.858;0.854;0.854;0.863;0.849
0.871;0.852;0.862;0.862;0.863;0.853;0.860;0.861;0.859;0.851;0.853
0.855;0.866;0.857;0.854;0.857;0.862;0.855;0.860;0.856;0.856;0.858
